,Air,Airplane,Alien,Axe,Baby,Beer,Bicycle,Bird,Blood,Book,Bowl,Brain,Butter,Cage,Camera,Car,Castle,Cat,Chain,Chainsaw,Church,Cloud,Cockroach,Community,Computer,Cross,Cup,Death,Devil,Diamond,Dragon,Duck,Dynamite,Electricity,Fence,Film,Fire,Fish,Gold,Grass,Guitar,Gun,Heart,Helicopter,Home,King,Laser,Law,Lightning,Man,Math,Medusa,Money,Monkey,Moon,Mountain,Noise,Nuke,Paper,Peace,Pit,Planet,Platimum,Poison,Police,Porcupine,Power,Prayer,Prince,Princess,Queen,Quicksand,Rain,Rainbow,Robot,Rock,Satan,School,Scissors,Sky,Snake,Spider,Sponge,Sun,Sword,T.V.,Tank,Toilet,Tornado,Train,Tree,Turnip,U.F.O.,Vampire,Video Game,Vulture,Wall,Water,Whip,Wolf,Woman
Air,,,chokes,,,stales,,,,,tips over,,,,knocks over,,,,tarnishes,echoes,,,,,,,tips over,carries smell of,chokes,scatters,freezes,,blows out,conducts,wobbles,,spreads,,cools,,-,tarnishes,feeds,tosses,,,weakens,scatters,conducts,,scatters,freezes,,,,chills,,blows astray,,,fills,covers,cools,,,,makes wind,echoes,,,,escapes,creates,suspends,tarnishes,erodes,chokes,headed,,becomes,,,,cools heat of,tarnishes,headed,-,,creates,,,,chokes,,freezes,,buffets,evaporates,echoes,,
Airplane,flies through,,spots,,,serves,,,,,carries,,,,,,,,flies over,,,,,,,,carries,can cause,scarier than,pricier than,faster than,,flies over,uses,flies over,shows,,,pricier than,flies over,carries,bans,stops,outflies,,,carries,use Newton's third,attracts,,pilot uses,flies over,,,eclipses,flies over,,carries,,,flies over,travels,pricier than,,,,consumes,inspires,,,,flies over,flies over,flies over,piloted by,flies over,scarier than,,,traverses,,,,,bans,has,flies over,has,flies over,,,,spots,,in,,flies over,has,bans,,
Alien,,,,vaporizes,,,,,has,,,,,vaporizes,evades,,explores,,vaporizes,vaporizes,,,,,uses,,,causes,unaware of,steals,vaporizes,,vaporizes,uses,vaporizes,,starts,,colored,,,vaporizes,dissects,vaporizes,,,shoots,breaks physical,shoots,,uses advanced,vaporizes,,,,terraforms,,disarms,,disturbs,flies over,,colored,immune to,,vaporizes,uses advanced,doesn't use,,,,solidifies,,,commands,vaporizes,unaware of,vaporizes,vaporizes,from,vaporizes,,,flies to,vaporizes,,vaporizes,,dispels,,,,,,in,vaporizes,vaporizes,,vaporizes,,
Axe,flies through,terrorizes,,,hurts,,chops,chops,splatters,chops,chops,cleaves,chops,,,chops,sieges,chops,,,terrorizes,creates blood,chops,clears way for,chops,chops down,,,,,,chops,,,,chops,,chops,,chops,chops,,,,terrorizes,cleaves,,,,cleaves,,,costs,cleaves,reflects,,makes,,chops,disturbs,,changes,,,cleaves,chops,,,cleaves,cleaves,cleaves,,,,,,,,,,chops,chops,chops,,,,,smashes,,holds up,chops down,chops,,beheads,,chops,,,,cleaves,cleaves
Baby,breathes,annoys,draws,,,spills,carried on,scares,,tears up,eats from,has,eats,,,rides in,,scares,,,disrupts,makes gas,eats,lives in,,makes parents,drinks from,,,swallows,subdues,chases,,,,on,,eats,plays with,crawls in,ruins,,,,lives in,,,,,tires,,,costs,,looks at,lives on,makes,,rips up,,,lives on,plays with,,,,,answers,,,,,plays in,looks at,,,unaware of,,,,,eats,eats,,,on,,learns to use,,rides on,up in a,throws,draws,becomes,,,,drinks,,rides on,
Beer,,,chokes,rusts,,,,,,,,,,rusts,inspires,,,,rusts,affects,,,,,,,,toasts,drinker is,logo has,logo has,,soaks,conducts,sits on,,by the,,colored,,,inspires,affects,stops you driving,,,diffracts,breaks,logo depicts,,measured with,chokes,,,,logo has,,survives,,brings,fills,,colored,can be,,,gives false,answers,,,,floats on,despite,flavor,short-circuits,rolling,logo depicts,angers,rusts,no matter what,,,,catches,rusts,sits on,stops you driving,,after,,,,invokes,,inspires,,on the,tastier than,inspires,,
Bicycle,displaces,safer than,intrigues,,,inspires,,scares,,carries,helmet is,stimulates,carries,,,,,scares,,,to,makes dust,runs over,across,,travels a-,wins,,faster than,shines like,outruns,scares,,,hops,in,,runs over,wins,rides in,carries,,stimulates,,,,,,,,designed using,,costs,,reflects,climbs,,,delivers,,,across,uses,,,,,inspires,,,,,rides in,reflects,confuses,,amuses,,,,,runs over,carries,,,on,,has no,,,hits,runs over,attracts,outruns,in,,,splashes,,outruns,
Bird,breathes,flies like,intrigues,,,drinks,,,,carries off,bathes in,has,dirties,,,,,,,,perches on,flies above,eats,beautifies,,perches on,knocks over,,recognizes,carries off,faster than,,,on wire despite,flies over,on,,eats,colored,flies over,nests in,,has,,,,dodges,,attracts,,doesn't need,escapes,costs,,hunts by,lives on,,of peace prevents,nests in,,,lives on,colored,,,,has spiritual,in,,,,,flies above,flies over,perches on,,recognizes,,,,,eats,carries off,,,on,,doesn't use,,,,,hides from,escapes,brained,,,drinks,,,
Blood,consumes,turns around,,,powers,drips in,stains,powers,,stains,drips in,powers,stains,,,stains,,powers,,,stains,red,powers,donations for,,on the,drips in,,,,,powers,,,,on,,powers,,covers,stains,,,,stains,powers,,,,powers,,,-,powers,red,,makes no,,stains,,,red,,,powers,powers,,,powers,powers,powers,,flows like,,,,,,,,,powers,stains,,,on,,fills,,coarses like,marks,stains,,feeds,,powers,,thicker than,,powers,powers
Book,makes musty,about,about,,,about,,,,,about,,,,,,,,starts,,,about,,,,,about,,about,about,about,,explains,about,sits on,better than,,,about,about,teaches,about,about the,about,,,about,of,about,,teaches,about,,,about,about,,about,uses,,fills boredom,about,about,,,,knowledge is,of,,,,story has,blocks,depicts,about,,about,,,explains,,,,,about,better than,about,entertains on,explains,,,,on,,better than,,,jacket resists,makes you smart,,
